sentence	language
Sami teɣlid fella-s teddarɣelt d tiɛẓegt.	kab
Nttarḍal kan i-y-imerkantiyen.	kab
Ur semḥas ara yark iwayen id yeqqar.	kab
Sami ur yenɣi ara iman-is.	kab
Gezmeɣ-t ɣef sin immuren.	kab
Sami yemmuger-d layla.	kab
Sami yseḥbibir ɣef Layla.	kab
Sami yuker tiɣawsiwin seg uxxam n Layla.	kab
Sami yenna-d ɣef lǧal-is i yemmut baba-s	kab
Sami yeswa yerna ikeyyef.	kab
Sami ur iwala ara yark Layla tettru.	kab
Sami ur-d iru y-ara yark di lǧanaza.	kab
Sami yetqellaq aṭas yerna yugad.	kab
Sami yetqellaq aṭas.	kab
Sami issawel i bugaṭu.	kab
Sami issawel i yemma-s.	kab
Sami yessekra axxam i Layla.	kab
Izmer d Sami i yenɣan Layla	kab
Sami iqerḥit weɛrur-is.	kab
Sami d timenɣiwt i yenɣa iman-is.	kab
Sami yeẓẓa tijeǧǧigin.	kab
Sami yesɛa akken setta iseggasen.	kab
Axenfuc n Sami yella yeldi.	kab
Sami yumen yemma-s.	kab
Sami iruḥ s usu.	kab
Sami yella di Tahiti.	kab
Sami yuker tamdakelt n Farid.	kab
Sami ur yumin ara Layla mazal tedder.	kab
Sami d Farid llan akken di lḥebs.	kab
Sami iwala avidiu.	kab
Sami yeswa Red Bull.	kab
Sami yella yettidir akked xalti-s.	kab
Ssers iman-ik !	kab
Ffeɣ-iyi syagi !	kab
Ruḥ si ger wallen-iw !	kab
Ruḥ ur-k ttwaliɣ ara !	kab
Uɣalet ɣer deffir !	kab
Yyaw ad neqdec !	kab
Sefhem iman-ik.	kab
Kullec ad iɛeddi.	kab
Yyaw ad nṣub saygi.	kab
Yebba akken yelha !	kab
Ṭṭef axenfuc-ik !	kab
Kker ad nefteṛ.	kab
Ṭṭef axenfuc-im !	kab
Ɛeddi ɣer zdat !	kab
Heggi iman-ik !	kab
Seḥmu iman-ik !	kab
Heggit iman-nwen !	kab
Seḥmut iman-nwen !	kab
Uɣal ɣer deffir !	kab
Ur ttagadet ara !	kab
Ur tqelliqet ara !	kab
Ilik d aḥeqqani !	kab
Iliken d iḥeqqaniyen !	kab
Anef-as ɣur-ek !	kab
Tzemreḍ ad taruḍ s tutlayt i k-yehwan. Deg Tatoeba, tutlayin akk kifkif-itent.	kab
Anwa ad d-yasen ?	kab
Yyaw ad neqqim.	kab
Seqɛed iman-ik.	kab
Heggit iman-nwen.	kab
Yyaw ad nemsudan.	kab
Nukni ad naɣ awal.	kab
Ayɣer tseqsayeḍ ?	kab
Ḥemmleɣ ad azzleɣ.	kab
Seqdaceɣ ayagi.	kab
Wali axxam-agi.	kab
Ur ttruḥut ara.	kab
Yettriḥi d aẓidan !	kab
Γurwat imakaren.	kab
Mazal yekkat ugeffur.	kab
Tesneḍ ad tnehreḍ ?	kab
Ur sɛiɣ ula duru.	kab
Ttmeslayeɣ taglizit.	kab
Yessen ad iɛum.	kab
Nekk d ajapunit.	kab
Ad yewwet azekka udeffel.	kab
Ǧǧet-iyi ad ɛerḍeɣ.	kab
Ɛeddan mraw ussan.	kab
Nekk ad ɛiwneɣ.	kab
Acku ur ttidirent ara di twennaḍt anida timsal cuddent kan ar tineslemt.	kab
Acu kan ḥulfant d akken tamurt tetteddu ɣer yifri.	kab
Acu yewwin inselmen irebraben yeffɣen mgal adabu ɣef sebba n tsertit.	kab
Acuɣer ? D acu yewwin imcumem ar tullas?	kab
Ad d-nesmektay Katia Bengana.	kab
Ad iteddu ɣer nnger.	kab
Ad kem-yexneq ɣef yidra-s.	kab
Ad nesḥissef ass-a imi neɣli di tatut.	kab
Ad tefaṛes seg-s twacult-is, timetti-is, tamurt-is.	kab
Agraw n yidles d tugdut, tirni n yiɣallen inemlayen.	kab
Aɣref itettu s zreb.	kab
Ahat yiwen n wass ad nales talalit, ad d-nduqqes.	kab
Ahil yettwahegga, yettkemmil.	kab
Akken tebɣu tili talɣa-s.	kab
Ala netta i yellan ɣur-s.	kab
Almi d-yewweḍ lmijal.	kab
Am yal tikelt, nettaɣ-d tasebḥit iɣmisen akken ad nḍal ɣef tlufa n wass yezrin	kab
Amek i t-xeddmemt?	kab
Mm leḥnak n sisnu.	kab
Nettili gar-asen.	kab
Amezruy yettuɣal-d.	kab
Ass icuba ar gma-s.	kab
Taɣect-is, awal-is.	kab
Tilawin di taddart.	kab
Ɣef tlelli d tugdut.	kab
Ɣas ma iberdan nnḍen.	kab
Nettidir am yimehbal.	kab
Ɣas ma ɣuzzif umecwaṛ.	kab
Igenni ur inegger ara.	kab
Katiya, udem n sbeɛtac.	kab
Lemmer terbiḥeḍ ay ul.	kab
Snulfan-d tilafsiwin.	kab
Ur yezgi yettwabdar-d.	kab
Swiɣ aman isemmaḍen.	kab
Yiwet yiwet, snat snat, arama quccen tamurt, ad ssnegren timetti.	kab
Awal-nsen itezzi ɣef tsertit mačči ɣef tɣuri neɣ anadi ɣef tmusni.	kab
Ihi, tikwal ur gezzunt ara akken iwata tamsalt n tmenɣiwt n Katiya.	kab
Ur nessawed ara ad neḥdeṛ i temḍel-is imi seg tama nxuṣṣ allalen.	kab
Tetteɣiḍ tejra n lim, mi isɛawden ttelqim, teḥced tuɣal d isɣaren.	kab
Tadyant-is tesban-d amennuɣ gar tlelli d uzaglu, gar tafat d ṭṭlam.	kab
Ddeqs ur ngezzu ara acku tamurt ur tmudd ara azal n usegmi i tarwa-s.	kab
Newweḍ-d ar teswiɛt anida uccen yettɛassa ɣef texsi s yisem n usaḍuf.	kab
Tallit-nni ur aɣ-tunef ara ad neddu deg tɣuri am yisnawanen n umaḍal.	kab
Ayagi iban. tilelli n tmeṭṭut d ddwa qqessiḥen mgal ṭṭlam n yinselmen.	kab
Kra n uqeddic sɣur akabar n yidles d tugdut di tizi wezzi, d tajmilt.	kab
Tamettant n wid yemmuten ɣef tugdut d tlelli ur yessefk ara ad tetwaɣbaṛ.	kab
Maca acimi tugdi n ccbaḥa, n tlelli, n tmeṭṭut, d wayen i d-yexleq ugama?	kab
Win ur nerri aḍaṛ si temsirin i d-yettmuddu umezruy, ad asent-yales tudert.	kab
Yal ass yettawi-d amur-is n tekriḍt, lmut, lejruḥ, lbumbat, leḥbus, timenfi.	kab
Imawlan ur d aɣ-ǧǧin ara ad neddu akken nebɣa ɣef sebba n teswiɛt n yimir-n.	kab
Tamettant-is am tid d wid yemmuten deg wannar n yiseɣ mgal amnekcam afṛansis.	kab
Tugniwin i nettwali deg tiliẓri neɣ iɣmisen, nettargu-tent, deg yiḍ deg wass.	kab
D icawranen ur nudir ara tudert akken i tt-ttidiren yilmeẓyen di tmura-nniḍen.	kab
Ur yessefk ara ad ruḥen kan di rrayeɛ maca akken yeqqaṛ lwennas, asfel-nniḍen.	kab
Am yal tikelt, nettaɣ-d tasebḥit iɣmisen akken ad nḍal ɣef tlufa n wass yezrin.	kab
Imi ɣas amennuɣ n Katiya d win i d-yekkan mgal kennu zdat n yirebraben inselmen.	kab
Maca terna-d daɣen tabɣest i wid yesseḥbibiren ɣef tmurt n zzayer, ɣef izerfan.	kab
Taluft qerriḥet, isalli yesgugum imi, iẓri yeqquṛ, taɣect tebbuḥbeḥ, imi yekkaw.	kab
Tamesbanit neɣ sekra n leqdic icudden ɣer tugdut ama akked ugraw adelsan amaziɣ.	kab
Yerra-yas lebṣel, ticcert, iɛeqqaṛen, lmelḥ akked tarnest, sakin iger iɛuras ad qqlun.	kab
Timenɣiwt-is tesdduqqes-aɣ-d ugar n tidyanin-nniḍen n tmenɣiwt imi seg tama d tameṭṭut.	kab
Ɣef wudem n tmetti i nebɣa seg yidisan-is meṛṛa: idles, tutlayt, timagit, d wayen-nniḍen.	kab
Tessaweḍ tesseɣli-d rrehba deg wid yettennaɣen ɣef tikti-nsen s ubeckiḍ, s ssif, s ddreɛ.	kab
Nɣan Racid Tigziri, Smaɛil ur tezgilen ara, nɣan Lyabes d Flisi, Busebsi d wiyaḍ meṛṛa.	kab
Ɣas tamettant-is d asuki i yimeɣnasen n tugdut d uḥareb ɣef yizerfan n tmeṭṭut di Zzayer.	kab
Ɣas ulama aseggas n rebɛa u ttɛin d win n uheggi n ugerdas aneggaru n unekcum ar tesdawit.	kab
Nelḥa d iseggasen lwaḥid deg ubrid n usbeddi n tegduda n yizerfan d tlelli, uɣen abrid-nniḍen.	kab
I yemudden tiṛwiḥin-nsen akken ad tidir tmurt n Zzayer di talwit, di tlelli, di teɣdemt tinmettit.	kab
a Kenza a yelli sbeṛ-as i lmeḥna, d iseflan neɣli ɣef lezzayer uzekka, a kenza a yelli ur ttru yara.	kab
Taqcict meẓẓiyen i aɣ-d-yefkan taṛwiḥt-is ad nɣeṛ, ad nexdem, ad nečč, ad merreḥ, ad nidir di talwit.	kab
Maca tikti tekka-d seg udabu yessersen iẓuṛan-is segmi tewwi tmurt timunent-is mgal fṛansa di tniyen u settin.	kab
Temmut ɣef lǧal n tsuta n wass-a i yettun ibeddi-is mgal tamḥeqqranit anagar imeɣnasen d wid mazal deg annar tagara-a.	kab
Katia, taqcict n sbeɛṭac n yiseggasen tesseɣli-d rrehba deg ulawen n luluf n yinselmen irebraben armi ssawḍen ar tmenɣiwt-is.	kab
Ur neǧǧi ara tikliwin i d-yekkaten s leqseḥ mgal inselmen n ukabar n tirni tineslemt n usellek d wid i ten-yeṭṭafaṛen i yulin s yibeckiḍen s adrar.	kab
Yal mi ara tili tikli.	kab
Waṛda tecba taseḥḥart.	kab
Ur negzi ara acimi aya.	kab
Wayeḍ iwwi-t ar uquccu.	kab
Axeddam s lxuf iheddeṛ.	kab
Ifecka umḍinen.	kab
Aẓeṭṭa amettan s teqbaylit.	kab
Aẓawan dayen yelhan.	kab
Ttejra ur nerra tili, awer tili.	kab
Nettnadi ɣef talwit.	kab
Alla yiwen umsimɣer iteddun.	kab
Yal wa ad iḍumm zdat n uxxam-is sakin amaḍal meṛṛa ad yizdig.	kab
Ad neddu s axxam.	kab
Ad neqqim deg uxxam	kab
Taqeddact tewwi-d lbira.	kab
Fessus am azul.	kab
Yal wa yessel ayen yegza.	kab
Ttidireɣ s yilugan-iw.	kab
Ala akud ara t-id-yinin.	kab
Ɣucceɣ ageffur.	kab
Mudd-iyi-d kilu n lxux.	kab
Ur d-rmiseɣ ara imayl ass-a.	kab
S tidet Tom ibeddel isem?	kab
S tidet Tom ur yessin ara ad iɛum?	kab
Inzan weɛrit i tsuqilt.	kab
Ur ssinent kra.	kab
Awal itezzi kan ɣef yiwen n usentel.	kab
Isem-is n tidet d Lisa.	kab
Aql-i di Maseṛ.	kab
Tanemmirt imi i aɣ-teǧǧiḍ ad neqqim dagi.	kab
Nettnadi talwit.	kab
Sɛeddaɣ tameddit yelhan mliḥ.	kab
Walit tawlaft-a.	kab
Azul fell-awen ay arrac.	kab
D acu tebɣiḍ i wumulli-inek?	kab
tuɣal-d seg taddart	kab
Iruḥ wergaz ar wexxam	kab
Teffeɣ ar beṛṛa.	kab
issen abrid ilaqen	kab
Tewwi-yas-t-id armi d axxam.	kab
ttṛajun akk medden ansa ara d-yekk	kab
ffɣen-d akk medden ar iberdan	kab
imerkantiyen ttɛumun di rrbeḥ, ma d iẓawaliyen suturen tin n Ṛebbi	kab
Ldi adlis-ik ar usebter wis setta	kab
Ldi adlis-im ar usebter wis tnac	kab
issin abrid i tuɣalin	kab
Azul fell-awen.	kab
Azul fell-akent.	kab
isem-iw Amaziɣ.	kab
qqaṛen-iyi Amaziɣ.	kab
Qqimeɣ deg uxxam.	kab
Teqqimeḍ deg uxxam.	kab
Yeqqim deg uxxam.	kab
Ssneɣ abrid ar wexxam.	kab
Ssneɣ abrid ar wannar.	kab
Ssneɣ abrid ar taddart.	kab
Ssneɣ abrid ar yiger.	kab
Ddiɣ d umdakel-iw.	kab
Ddiɣ d temdakelt-iw.	kab
Ffɣeɣ iman-iw iḍelli.	kab
Ffɣeɣ d baba iḍelli.	kab
Ffɣeɣ d yemma iḍelli.	kab
Ffɣeɣ d ɛemmi iḍelli d wass-a.	kab
Neffeɣ meṛṛa iḍelli.	kab
Ffɣen meṛṛa iḍelli.	kab
Ffɣent meṛṛa iḍelli.	kab
Ad ffɣeɣ azekka.	kab
Ad ffɣeɣ ar taddart azekka.	kab
Ad ffɣeɣ ar temdint azekka.	kab
ad ffɣeɣ azekka zik ar ssuq.	kab
Ad ffɣeɣ d baba azekka.	kab
Ad ffɣeɣ d yemma azekka.	kab
Ad dduɣ d temdakelt-iw azekka.	kab
Ad dduɣ d temdukal-iw azekka.	kab
Cedhaɣ tamurt-iw.	kab
Cedhaɣ imawlan-iw.	kab
Cedhaɣ ad ẓreɣ tamurt-iw.	kab
Cedhaɣ ad ẓṛeɣ imawlan-iw.	kab
Cedhaɣ ad ffɣeɣ d yimdukal-iw.	kab
Cedhaɣ ad ffɣeɣ d temdukal-iw.	kab
Cedhaɣ ad ččeɣ aɣṛum.	kab
Ṭṭfeɣ aɛekkaz deg ufus-iw.	kab
Ṭṭfeɣ tamrart deg ufus-iw.	kab
Ṭṭfeɣ aɣṛum deg ufus-iw.	kab
Ṭṭfeɣ agelzim deg ufus-iw.	kab
Ṭṭfeɣ tilifun deg ufus-iw.	kab
Ṭṭfen tilifun deg ufus-nsen.	kab
Ṭṭfent tilifun deg ufus-nsent.	kab
Ṭṭfen aɣṛum deg ufus-nsen.	kab
Ṭṭfent aɣṛum deg ufus-nsent.	kab
Yerwel ar baba-s.	kab
Yerwel ar yemma-s.	kab
Terwel ar setti-s.	kab
Terwel ar ɛemti-s.	kab
Rewlen zik iḍelli.	kab
Rewlent zik iḍelli.	kab
Rewleɣ seg uxxam ar beṛṛa.	kab
Rewleɣ seg uxxam ar lexla.	kab
Yerwel seg texxamt ɣer ufrag.	kab
Yerwel seg ubrid ar wexxam.	kab
Rewlen anda ara afen aman.	kab
Rewlen anda i ulac ṭṭrad.	kab
Terwel anda ara taf talwit.	kab
Yerwel anda ara yeṭṭes.	kab
Ad iruḥ mi ara yebɣu.	kab
Ad truḥ mi ara tebɣu.	kab
Ad ruḥen mi ara bɣun.	kab
Ad ṛuḥent mi ara bɣunt.	kab
Aql-ik tcebḥeḍ aṭas, ad k-ister Rebbi seg tiṭ.	kab
Ṛuḥeɣ ar wanda i bɣiɣ.	kab
Ṛuḥeɣ ar wanda ur bɣin ara nutni.	kab
Truḥ ar wanda i tella yemma-s.	kab
Tṛuḥ seg umkan i yella ɛemmi-s.	kab
Iruḥ ar wanda i yeqqim baba-s.	kab
Iruḥ seg wexxam i tella uletma-s.	kab
Ttruḥuɣ yal ass ar umkan-nni.	kab
Ttrḥun yal ass ar uɣerbaz.	kab
Ttruḥun yal ass ar lexla.	kab
Ttrḥunt yal ass ad ḥewsent.	kab
Ittruḥu yal iḍ ar yiger.	kab
Icfa ɣef ubrif ar beṛṛa.	kab
Tecfa ɣef udem n ɛemti-s.	kab
Tecfa ɣef umkan i yella iḍelli.	kab
Icfa ɣef uxxam i yella ufrux.	kab
Iceffu dima ɣef wayen yesla.	kab
Tceffu dima ɣef imeslayen n yemma-s.	kab
Ceffun ansa i ɛeddan.	kab
Tceffum i kullec ḥaca i tidet.	kab
Yuzel iḍelli deg wannar.	kab
Uzlen seg taddart ufella armi d asif.	kab
Tekki ɣef tqeffilt-nni tazeggaɣt!	kab
Tekki ɣef kra n tqeffilt!	kab
Tekki ɣef tqeffilt-nni tayeffust!	kab
Tekki ɣef tqeffilt-nni tazelmaḍt!	kab
Cɛel tafat n tkuzint!	kab
Cɛel tafatin n texxamin i meṛṛa!	kab
Cɛel aselkim-inek!	kab
Cɛel aselkim-inek, trajuḍ kra n lweqt!	kab
Nadi anda ara truḥeḍ!	kab
Yettnadi deg tcekkaṛin.	kab
Bɣan ad nadin ula d nutni.	kab
Sɛan ayen i ttnadin deg txemmamt-nni	kab
Ffɣen ad nadin ma yella kra ara afen.	kab
Yezdeɣ deg uxxam n gma-s.	kab
Zedɣen deg tuddar n idurar.	kab
Zedɣent nnig n ttjuṛ.	kab
Yemɣi-d ṛṛbiɛ n tefsut.	kab
Ittemɣay-d mkul aseggas deg tefsut.	kab
D aman i yessemɣayen ayen yettwaẓẓan.	kab
Ẓẓu kra n tzemrin ara d-afen warraw-ik!	kab
Wa itteẓẓu, wayeḍ iqelleɛ.	kab
Iḥemmel ijeǧǧigen n tefsut.	kab
Ḥemmlen ad ḥewsen di tefsut.	kab
Ssnen imukan yelhan deg tefsut.	kab
Cebḥen wussan n tefsut.	kab
Tecbeḥ tefsut s yiṭij-is d wussan-is ḥlawen.	kab
Iḥemmel tamdakelt-is mliḥ.	kab
Myeḥmalen yerna mliḥ.	kab
Tḥemmel-it seg wasmi tella d tabesṭuḥt.	kab
Tebɣa ad taɣ argaz ara tt-iḥemmlen.	kab
D tayri i yebnan tudert.	kab
Tecbeḥ tayri n temẓi.	kab
Tecbeḥ temẓi s tayri-s.	kab
Tecbeḥ temẓi s wussan n wurar.	kab
D temẓi i ixeddmen ɣef temɣeṛ.	kab
Yelha wurar n temẓi.	kab
Yessen ad yurar tiqemca n wallen.	kab
Tessen ad teffer fell-as.	kab
Msebɣan si zik mačči armi d ass-a.	kab
Tensa tafat n texxamt.	kab
Yensa uselkim-inek.	kab
Yettnus uselkim-inek.	kab
Ur d-iqqim ara aṭas i wakken ad ines uselkim-inek.	kab
Wali ma yella iṣeḥḥa wayen i d-turiḍ!	kab
Yettnadi ma yella ad d-yaf ayen i tefreḍ.	kab
Ffɣen-d iɣerdayen.	kab
Rewlen wuccanen ar lexla.	kab
Ur ssinen ara ayen yelhan.	kab
Ssnen kan ad wten deg wiyaḍ.	kab
Yiwen ur icɣil d ccɣel-is.	kab
Ttnadin kan amek ara wten deg wayeḍ.	kab
Ttasen-d yal aseggas.	kab
Bran i ṭṭbel deg waman.	kab
Yettṛuḥu ɣur-s yal ass.	kab
Yeqqel uqlmun s iḍaṛṛen.	kab
Ṛuḥ-d ar wexxam a Muḥend !	kab
Seg zik nutni d imenɣi.	kab
Yufa udebbuz gma-s.	kab
Gguman akk ad susmen.	kab
Ugin ad fakken ameslay	kab
Seg mi d-kkren nutni d aɛeyyeḍ	kab
Yettcaṛaɛ Rebbi ɣef wayen i s-yekkes	kab
Ittcekkiṛ Ṛebbi ɣef wayen i as-d-ittakk	kab
Ittamen s teqsiḍin n Buseɛd	kab
Mazal-it d nniya	kab
Yenwa akka ara s-tdum	kab
Yennulfa-d ugejdur deg taddart-nsen	kab
Isexlaɛ wudem-is mi ara d-tekker	kab
Tettekkar-d ɣef ttnac n uzal	kab
Ay abeḥri n tɣaltin	kab
Ay abeḥri i d-isuḍen	kab
Ldi aqṛab-ik, teddmeḍ-d taktubt-ik!	kab
Aru akken iwata mačči d asxerbubec kan!	kab
Yekker zzhir di tudrin	kab
Tekker tmes deg umadaɣ	kab
Ufan-d tifrat ɣef tlata n tmeddit	kab
Ufan-d tifrat uqbel ad d-yeɣli yiḍ	kab
Zegren asif, ffɣen ar ugemmaḍ ufella	kab
Serwaten sbeḥ-meḍḍi armi ɛyan	kab
Ḥemmlen ad ččen tiẓidanin d wayen yelhan	kab
Cedhaɣ udem n tayri.	kab
Anwa i kem-yifen a tizizwit?	kab
Deg ussan i d-iteddun ad ṛuḥeɣ ad sewqeɣ	kab
Aql-aɣ nettṛaju-k a gma-tneɣ	kab
Nettkel akk fell-am a taɛzizt	kab
Tcennu tuɣac n tayri ɣas nettat leɛmeṛ akk tessen tayri	kab
Ur ixeddem ara ayen i d-yeqqaṛ	kab
Iḥemmel kan tiqeṛɛunin d wučči ẓiden	kab
Ay itbir afeg ur ttrusu ara ɣef ufus n wemdan!	kab
Ssneɣ ansa ara as-kkeɣ akken ad t-id-ṭṭfeɣ	kab
Huzz ammas-ik a dda Ɛli bu yezgaren!	kab
Iḥemmel tuɣac n Lani Rabah	kab
Yetturar s ssnitra-s ddaw n teɛrict	kab
Tettruccu tibḥirt-is s waman.	kab
Tesbixxiw-d lehwa.	kab
Yekkat ugufur deg tlemmast n unebdu.	kab
Yettali ṣṣut-is armi yewweḍ taqacuct n wedrar.	kab
Ameksa yessen ulli-s.	kab
Jbed deg umrar-nni ameqqran, nekk ad jebdeɣ deg ubesṭuḥ-nni.	kab
Tḥemmel irgazen yesɛan idrimen.	kab
Iḥemmel tiqcicin i yessnen ad lsent.	kab
Isuffeɣ-d tanegḥelt-ines.	kab
Bɣan ad ṛuḥen azekka ar ṣṣyada.	kab
Imeslay-as-d Rebbi i Musa.	kab
Ur yettamen ara s Rebbi akked nnbi.	kab
Yettamen kan iman-is d wallaɣ-is.	kab
Ur t-terri ara tmara i lekdeb akked zzuṛ.	kab
Berka-k askeɛrer fell-aneɣ!	kab
Anita i d tamdakelt-inek?	kab
Acḥal i tesɛiḍ di leɛmeṛ-ik?	kab
Anita i tebɣiḍ deg-sent?	kab
Anta taqcict i ak-d-iɛeǧben?	kab
Anita deg-sent i imelliḥen?	kab
Anwa abrid i yessuffuɣen?	kab
Ur ẓṛiɣ ara ansa ara ɛeddiɣ.	kab
Ur teẓṛi ara ansa ara tɛeddi.	kab
Ur ẓṛan ara ansa ara ɛeddin.	kab
Ifukk walim deg udaynin.	kab
Tfukk tuga deg udaynin.	kab
Iffeɣ lmal iman-is ad ikes.	kab
Xemmem akken iqwem ɣef tifrat!	kab
Issin anwa i d amdakel-ik d wanwa i d axṣim-ik!	kab
Acuɣeṛ i teffɣeḍ zik iḍelli?	kab
Acuɣer i tsetḥaḍ ad as-theḍḍṛeḍ?	kab
Acuɣer i as-tenwiḍ belli meqqṛet?	kab
Anda ara yili mmi-s n ɛemmi Crif?	kab
Anda ara yafeɣ win yeznuzayen iselkimen yelhan?	kab
Anwa i yessnen ad isekles taɣect-ines?	kab
Anita i yessnen ad turar ddabex n uḍaṛ?	kab
Awi-d tabaḥant i dada-m!	kab
Efk-as tabaḥant i nanna-m!	kab
Iseṭṭel ula d cclaɣem-is.	kab
Ur izgi ara yetteffeɣ zik seg uxxam.	kab
Ur tezgi ara tettɣama aṭas deg uxxam.	kab
Ur tennum ara d lecɣal ẓẓayen.	kab
Tessen kan ticeɣlatin tibesṭaḥ.	kab
Tessen kan ad turar d taqcicin tibesṭaḥ.	kab
Tettnadi anda i yerra gma-s.	kab
Tikkelt tamenzut tenwa d gma-s.	kab
Tedda yid-sent ad turar ula d nettat.	kab
Teffeɣ ad tt-id-iwet ubeḥri.	kab
Tebɣa ad tecbu tizzyiwin-is meɛna d tafenyant i tella.	kab
Win yebɣan rrbeḥ ilaq ad icemmeṛ iɣallen-is.	kab
Win yebɣan ayen yelhan ilaq ad yazzel fell-as.	kab
Win yessaramen yettaweḍ.	kab
Win yessnen ad yargu yettaweḍ ayen yelhan.	kab
Win yessnen ad ixemmem yettmagar-d ayen yelhan.	kab
ṭṭwiqan meṛṛa n texxamin ldin	kab
ṭṭwiqan meṛṛa n texxamin dderɛen	kab
ṭṭwiqan meṛṛa n uxxam-nni ṛẓen	kab
tḥemmel amuqqel si ṭṭaq	kab
d tawwurt n beṛṛa i yeldin	kab
ussan akk n tefsut d izegzawen	kab
nudaɣ ɣef zzheṛ-iw, dɣa ufiɣ-t	kab
tnuda ɣef zzheṛ-is, dɣa tufa-t	kab
nudan ɣef zzheṛ-nsen, dɣa ufan-t	kab
ttnadiɣ ɣef wayen i ssarameɣ, zgiɣ ttafeɣ-t	kab
ussan akk lhan i taḍsa	kab
Mebla Rebbi ma teḍra-s teqsiṭ-a	kab
aḥeqq Rebbi ar d nettat i yessnen wala nekki	kab
aḥeqq Rebbi ar d-heddṛeɣ tidet	kab
wteɣ cakula armi d-teffeɣ seg wallen-iw	kab
wteɣ lbanan armi d-yeffeɣ seg wallen-iw	kab
wteɣ takermust armi yi-tewḥel	kab
ḥawleɣ ifelfel aqeṛḥan armi d-ṭṭfeɣ ccin	kab
tettḥawal ayen qeṛṛiḥen armi d-teṭṭef ccin	kab
widak akk yettḥawalen aqeṛḥan sɛan ccin	kab
iḥemmel ifelfel d ṭumaṭic	kab
tsewway timellalin deg waman	kab
bezzaf ẓẓay uselkim-is	kab
acḥal ara neqqim deg udrar?	kab
acḥal n wussan i as-d-mazal i tefsut?	kab
Acḥal n wussan i d-mazal akken ad yebdu wurar n teqbuct n ddunit?	kab
